K,a,b,c,d,seed,obj
8,1e-09,0.007021866996761653,1e-09,0.007021866996761653,0,-206224821.13707262
8,1e-09,0.007021866996761653,1e-08,0.007021866996761653,0,-206224821.13694146
8,1e-09,0.007021866996761653,1e-07,0.007021866996761653,0,-206224821.13563162
8,1e-09,0.007021866996761653,1e-06,0.007021866996761653,0,-206224821.12253252
8,1e-09,0.007021866996761653,1e-05,0.007021866996761653,0,-206224820.9915447
8,1e-09,0.007021866996761653,0.0001,0.007021866996761653,0,-206224833.37072557
8,1e-09,0.007021866996761653,0.001,0.007021866996761653,0,-206226910.66403094
8,1e-09,0.007021866996761653,0.01,0.007021866996761653,0,-206225626.54095885
8,1e-09,0.007021866996761653,0.1,0.007021866996761653,0,-206226350.12262213
8,1e-09,0.007021866996761653,1.0,0.007021866996761653,0,-206208948.21280044
8,1e-09,0.007021866996761653,10.0,0.007021866996761653,0,-206082464.03376156
8,1e-09,0.007021866996761653,100.0,0.007021866996761653,0,-204852266.0657444
8,1e-09,0.007021866996761653,1000.0,0.007021866996761653,0,-206164923.63674226
8,1e-09,0.007021866996761653,10000.0,0.007021866996761653,0,-219639691.74446666
8,1e-09,0.007021866996761653,100000.0,0.007021866996761653,0,-235195243.04396173
8,1e-09,0.007021866996761653,1000000.0,0.007021866996761653,0,-238727294.3471618
8,1e-09,0.007021866996761653,10000000.0,0.007021866996761653,0,-239128349.07114106
8,1e-09,0.007021866996761653,100000000.0,0.007021866996761653,0,-239112178.35966825
8,1e-09,0.007021866996761653,1000000000.0,0.007021866996761653,0,-239180744.80183756
8,1e-08,0.007021866996761653,1e-09,0.007021866996761653,0,-206224821.1357829
8,1e-08,0.007021866996761653,1e-08,0.007021866996761653,0,-206224821.13565186
8,1e-08,0.007021866996761653,1e-07,0.007021866996761653,0,-206224821.13434193
8,1e-08,0.007021866996761653,1e-06,0.007021866996761653,0,-206224821.12124282
8,1e-08,0.007021866996761653,1e-05,0.007021866996761653,0,-206224820.9902552
8,1e-08,0.007021866996761653,0.0001,0.007021866996761653,0,-206224833.36943585
8,1e-08,0.007021866996761653,0.001,0.007021866996761653,0,-206226910.66254088
8,1e-08,0.007021866996761653,0.01,0.007021866996761653,0,-206225626.53965032
8,1e-08,0.007021866996761653,0.1,0.007021866996761653,0,-206226350.1212939
8,1e-08,0.007021866996761653,1.0,0.007021866996761653,0,-206208948.21146652
8,1e-08,0.007021866996761653,10.0,0.007021866996761653,0,-206082464.0323806
8,1e-08,0.007021866996761653,100.0,0.007021866996761653,0,-204852266.06445616
8,1e-08,0.007021866996761653,1000.0,0.007021866996761653,0,-206164923.6334234
8,1e-08,0.007021866996761653,10000.0,0.007021866996761653,0,-219639691.74186707
8,1e-08,0.007021866996761653,100000.0,0.007021866996761653,0,-235195243.04165238
8,1e-08,0.007021866996761653,1000000.0,0.007021866996761653,0,-238727294.34486768
8,1e-08,0.007021866996761653,10000000.0,0.007021866996761653,0,-239128349.06884763
8,1e-08,0.007021866996761653,100000000.0,0.007021866996761653,0,-239112178.35737193
8,1e-08,0.007021866996761653,1000000000.0,0.007021866996761653,0,-239180744.79933083
8,1e-07,0.007021866996761653,1e-09,0.007021866996761653,0,-206224821.12288618
8,1e-07,0.007021866996761653,1e-08,0.007021866996761653,0,-206224821.12275496
8,1e-07,0.007021866996761653,1e-07,0.007021866996761653,0,-206224821.12144512
8,1e-07,0.007021866996761653,1e-06,0.007021866996761653,0,-206224821.1083459
8,1e-07,0.007021866996761653,1e-05,0.007021866996761653,0,-206224820.9773585
8,1e-07,0.007021866996761653,0.0001,0.007021866996761653,0,-206224833.35653824
8,1e-07,0.007021866996761653,0.001,0.007021866996761653,0,-206226910.64763972
8,1e-07,0.007021866996761653,0.01,0.007021866996761653,0,-206225626.52656496
8,1e-07,0.007021866996761653,0.1,0.007021866996761653,0,-206226350.10801235
8,1e-07,0.007021866996761653,1.0,0.007021866996761653,0,-206208948.19812578
8,1e-07,0.007021866996761653,10.0,0.007021866996761653,0,-206082464.01857015
8,1e-07,0.007021866996761653,100.0,0.007021866996761653,0,-204852266.05157205
8,1e-07,0.007021866996761653,1000.0,0.007021866996761653,0,-206164923.6002326
8,1e-07,0.007021866996761653,10000.0,0.007021866996761653,0,-219639691.71587116
8,1e-07,0.007021866996761653,100000.0,0.007021866996761653,0,-235195243.01855916
8,1e-07,0.007021866996761653,1000000.0,0.007021866996761653,0,-238727294.32192704
8,1e-07,0.007021866996761653,10000000.0,0.007021866996761653,0,-239135130.23119813
8,1e-07,0.007021866996761653,100000000.0,0.007021866996761653,0,-239118719.43802062
8,1e-07,0.007021866996761653,1000000000.0,0.007021866996761653,0,-239180744.77426365
8,1e-06,0.007021866996761653,1e-09,0.007021866996761653,0,-206224820.99391785
8,1e-06,0.007021866996761653,1e-08,0.007021866996761653,0,-206224820.99378678
8,1e-06,0.007021866996761653,1e-07,0.007021866996761653,0,-206224820.99247703
8,1e-06,0.007021866996761653,1e-06,0.007021866996761653,0,-206224820.97937778
8,1e-06,0.007021866996761653,1e-05,0.007021866996761653,0,-206224820.84839046
8,1e-06,0.007021866996761653,0.0001,0.007021866996761653,0,-206224833.227565
8,1e-06,0.007021866996761653,0.001,0.007021866996761653,0,-206226910.49863008
8,1e-06,0.007021866996761653,0.01,0.007021866996761653,0,-206225626.39571455
8,1e-06,0.007021866996761653,0.1,0.007021866996761653,0,-206226349.9751989
8,1e-06,0.007021866996761653,1.0,0.007021866996761653,0,-206208948.06472448
8,1e-06,0.007021866996761653,10.0,0.007021866996761653,0,-206082463.88046598
8,1e-06,0.007021866996761653,100.0,0.007021866996761653,0,-204852265.92273277
8,1e-06,0.007021866996761653,1000.0,0.007021866996761653,0,-206164923.2683947
8,1e-06,0.007021866996761653,10000.0,0.007021866996761653,0,-219639691.45591292
8,1e-06,0.007021866996761653,100000.0,0.007021866996761653,0,-235195242.78762725
8,1e-06,0.007021866996761653,1000000.0,0.007021866996761653,0,-238735358.00013745
8,1e-06,0.007021866996761653,10000000.0,0.007021866996761653,0,-239136344.272653
8,1e-06,0.007021866996761653,100000000.0,0.007021866996761653,0,-239119957.41712078
8,1e-06,0.007021866996761653,1000000000.0,0.007021866996761653,0,-239182114.07319102
8,1e-05,0.007021866996761653,1e-09,0.007021866996761653,0,-206224821.6399937
8,1e-05,0.007021866996761653,1e-08,0.007021866996761653,0,-206224821.63986245
8,1e-05,0.007021866996761653,1e-07,0.007021866996761653,0,-206224821.63855252
8,1e-05,0.007021866996761653,1e-06,0.007021866996761653,0,-206224821.62545338
8,1e-05,0.007021866996761653,1e-05,0.007021866996761653,0,-206224821.49446738
8,1e-05,0.007021866996761653,0.0001,0.007021866996761653,0,-206224831.93786725
8,1e-05,0.007021866996761653,0.001,0.007021866996761653,0,-206226903.04403666
8,1e-05,0.007021866996761653,0.01,0.007021866996761653,0,-206225631.92354247
8,1e-05,0.007021866996761653,0.1,0.007021866996761653,0,-206226348.66541833
8,1e-05,0.007021866996761653,1.0,0.007021866996761653,0,-206208902.4015309
8,1e-05,0.007021866996761653,10.0,0.007021866996761653,0,-206081886.73099554
8,1e-05,0.007021866996761653,100.0,0.007021866996761653,0,-204852284.31480768
8,1e-05,0.007021866996761653,1000.0,0.007021866996761653,0,-206161451.95413777
8,1e-05,0.007021866996761653,10000.0,0.007021866996761653,0,-219644564.98509002
8,1e-05,0.007021866996761653,100000.0,0.007021866996761653,0,-235202353.81407675
