K,a,b,c,d,seed,obj
8,0.032890540167673336,1e-07,0.00044727375230632724,1e-09,0,-206217788.71619216
8,0.032890540167673336,1e-07,0.00044727375230632724,1e-08,0,-206217788.71631446
8,0.032890540167673336,1e-07,0.00044727375230632724,1e-07,0,-206217788.7175361
8,0.032890540167673336,1e-07,0.00044727375230632724,1e-06,0,-206217788.72975364
8,0.032890540167673336,1e-07,0.00044727375230632724,1e-05,0,-206217788.85192764
8,0.032890540167673336,1e-07,0.00044727375230632724,0.0001,0,-206217790.07366565
8,0.032890540167673336,1e-07,0.00044727375230632724,0.001,0,-206217802.29104117
8,0.032890540167673336,1e-07,0.00044727375230632724,0.01,0,-206217924.46408176
8,0.032890540167673336,1e-07,0.00044727375230632724,0.1,0,-206219146.12311286
8,0.032890540167673336,1e-07,0.00044727375230632724,1.0,0,-206229856.96432173
8,0.032890540167673336,1e-07,0.00044727375230632724,10.0,0,-206352378.25996518
8,0.032890540167673336,1e-07,0.00044727375230632724,100.0,0,-206888062.90427995
8,0.032890540167673336,1e-07,0.00044727375230632724,1000.0,0,-206858560.9753971
8,0.032890540167673336,1e-07,0.00044727375230632724,10000.0,0,-206784992.3909569
8,0.032890540167673336,1e-07,0.00044727375230632724,100000.0,0,-206754628.23195916
8,0.032890540167673336,1e-07,0.00044727375230632724,1000000.0,0,-206773796.89248934
8,0.032890540167673336,1e-07,0.00044727375230632724,10000000.0,0,-206778782.44292957
8,0.032890540167673336,1e-07,0.00044727375230632724,100000000.0,0,-206795751.0969935
8,0.032890540167673336,1e-07,0.00044727375230632724,1000000000.0,0,
8,0.032890540167673336,1e-06,0.00044727375230632724,1e-09,0,-206217788.71618232
8,0.032890540167673336,1e-06,0.00044727375230632724,1e-08,0,-206217788.71630445
8,0.032890540167673336,1e-06,0.00044727375230632724,1e-07,0,-206217788.71752608
8,0.032890540167673336,1e-06,0.00044727375230632724,1e-06,0,-206217788.72974375
8,0.032890540167673336,1e-06,0.00044727375230632724,1e-05,0,-206217788.85191742
8,0.032890540167673336,1e-06,0.00044727375230632724,0.0001,0,-206217790.0736558
8,0.032890540167673336,1e-06,0.00044727375230632724,0.001,0,-206217802.2910312
8,0.032890540167673336,1e-06,0.00044727375230632724,0.01,0,-206217924.46407178
8,0.032890540167673336,1e-06,0.00044727375230632724,0.1,0,-206219146.1231048
8,0.032890540167673336,1e-06,0.00044727375230632724,1.0,0,-206229856.96433118
8,0.032890540167673336,1e-06,0.00044727375230632724,10.0,0,-206352378.26014844
8,0.032890540167673336,1e-06,0.00044727375230632724,100.0,0,-206888062.91510162
8,0.032890540167673336,1e-06,0.00044727375230632724,1000.0,0,-206858561.10471362
8,0.032890540167673336,1e-06,0.00044727375230632724,10000.0,0,-206784993.70864877
8,0.032890540167673336,1e-06,0.00044727375230632724,100000.0,0,-206754641.51053816
8,0.032890540167673336,1e-06,0.00044727375230632724,1000000.0,0,-206773929.59472725
8,0.032890540167673336,1e-06,0.00044727375230632724,10000000.0,0,-206793207.23117733
8,0.032890540167673336,1e-06,0.00044727375230632724,100000000.0,0,-206857463.16269428
8,0.032890540167673336,1e-06,0.00044727375230632724,1000000000.0,0,-207189822.03888184
8,0.032890540167673336,1e-05,0.00044727375230632724,1e-09,0,-206217788.71608332
8,0.032890540167673336,1e-05,0.00044727375230632724,1e-08,0,-206217788.71620554
8,0.032890540167673336,1e-05,0.00044727375230632724,1e-07,0,-206217788.71742713
8,0.032890540167673336,1e-05,0.00044727375230632724,1e-06,0,-206217788.72964463
8,0.032890540167673336,1e-05,0.00044727375230632724,1e-05,0,-206217788.8518184
8,0.032890540167673336,1e-05,0.00044727375230632724,0.0001,0,-206217790.0735567
8,0.032890540167673336,1e-05,0.00044727375230632724,0.001,0,-206217802.29093254
8,0.032890540167673336,1e-05,0.00044727375230632724,0.01,0,-206217924.46397477
8,0.032890540167673336,1e-05,0.00044727375230632724,0.1,0,-206219146.12302536
8,0.032890540167673336,1e-05,0.00044727375230632724,1.0,0,-206229856.964425
8,0.032890540167673336,1e-05,0.00044727375230632724,10.0,0,-206352378.26197982
8,0.032890540167673336,1e-05,0.00044727375230632724,100.0,0,-206888063.02331755
8,0.032890540167673336,1e-05,0.00044727375230632724,1000.0,0,-206858562.39787894
8,0.032890540167673336,1e-05,0.00044727375230632724,10000.0,0,-206785006.88552654
8,0.032890540167673336,1e-05,0.00044727375230632724,100000.0,0,-206754774.29220352
8,0.032890540167673336,1e-05,0.00044727375230632724,1000000.0,0,-206789815.1247593
8,0.032890540167673336,1e-05,0.00044727375230632724,10000000.0,0,-206860032.8933488
8,0.032890540167673336,1e-05,0.00044727375230632724,100000000.0,0,-207180114.4788326
8,0.032890540167673336,1e-05,0.00044727375230632724,1000000000.0,0,-208565507.91664642
8,0.032890540167673336,0.0001,0.00044727375230632724,1e-09,0,-206217788.7150915
8,0.032890540167673336,0.0001,0.00044727375230632724,1e-08,0,-206217788.71521372
8,0.032890540167673336,0.0001,0.00044727375230632724,1e-07,0,-206217788.7164356
8,0.032890540167673336,0.0001,0.00044727375230632724,1e-06,0,-206217788.72865283
8,0.032890540167673336,0.0001,0.00044727375230632724,1e-05,0,-206217788.8508268
8,0.032890540167673336,0.0001,0.00044727375230632724,0.0001,0,-206217790.07256523
8,0.032890540167673336,0.0001,0.00044727375230632724,0.001,0,-206217802.2899425
8,0.032890540167673336,0.0001,0.00044727375230632724,0.01,0,-206217924.46300262
8,0.032890540167673336,0.0001,0.00044727375230632724,0.1,0,-206219146.12222835
8,0.032890540167673336,0.0001,0.00044727375230632724,1.0,0,-206229856.96536466
8,0.032890540167673336,0.0001,0.00044727375230632724,10.0,0,-206352378.2802952
8,0.032890540167673336,0.0001,0.00044727375230632724,100.0,0,-206888064.1054758
8,0.032890540167673336,0.0001,0.00044727375230632724,1000.0,0,-206858575.32943344
8,0.032890540167673336,0.0001,0.00044727375230632724,10000.0,0,-206786197.82996663
8,0.032890540167673336,0.0001,0.00044727375230632724,100000.0,0,-206756101.69217452
8,0.032890540167673336,0.0001,0.00044727375230632724,1000000.0,0,-206831941.67115343
8,0.032890540167673336,0.0001,0.00044727375230632724,10000000.0,0,-207190243.54368064
8,0.032890540167673336,0.0001,0.00044727375230632724,100000000.0,0,-208556475.560269
8,0.032890540167673336,0.0001,0.00044727375230632724,1000000000.0,0,-212870240.06205946
8,0.032890540167673336,0.001,0.00044727375230632724,1e-09,0,-206217788.70517522
8,0.032890540167673336,0.001,0.00044727375230632724,1e-08,0,-206217788.70529747
8,0.032890540167673336,0.001,0.00044727375230632724,1e-07,0,-206217788.7065193
8,0.032890540167673336,0.001,0.00044727375230632724,1e-06,0,-206217788.71873665
8,0.032890540167673336,0.001,0.00044727375230632724,1e-05,0,-206217788.84091058
8,0.032890540167673336,0.001,0.00044727375230632724,0.0001,0,-206217790.062651
8,0.032890540167673336,0.001,0.00044727375230632724,0.001,0,-206217802.28004584
8,0.032890540167673336,0.001,0.00044727375230632724,0.01,0,-206217924.45328102
8,0.032890540167673336,0.001,0.00044727375230632724,0.1,0,-206219146.11425853
8,0.032890540167673336,0.001,0.00044727375230632724,1.0,0,-206229856.97476026
8,0.032890540167673336,0.001,0.00044727375230632724,10.0,0,-206352378.46344718
8,0.032890540167673336,0.001,0.00044727375230632724,100.0,0,-206888074.9270379
8,0.032890540167673336,0.001,0.00044727375230632724,1000.0,0,-206860012.0378062
8,0.032890540167673336,0.001,0.00044727375230632724,10000.0,0,-206785949.63977897
8,0.032890540167673336,0.001,0.00044727375230632724,100000.0,0,-206818828.25632936
8,0.032890540167673336,0.001,0.00044727375230632724,1000000.0,0,-207186815.13737005
8,0.032890540167673336,0.001,0.00044727375230632724,10000000.0,0,-208566153.07685697
8,0.032890540167673336,0.001,0.00044727375230632724,100000000.0,0,-212864559.46160123
8,0.032890540167673336,0.001,0.00044727375230632724,1000000000.0,0,-226984979.52649185
8,0.032890540167673336,0.01,0.00044727375230632724,1e-09,0,-206217788.60601252
8,0.032890540167673336,0.01,0.00044727375230632724,1e-08,0,-206217788.6061347
8,0.032890540167673336,0.01,0.00044727375230632724,1e-07,0,-206217788.60735643
8,0.032890540167673336,0.01,0.00044727375230632724,1e-06,0,-206217788.61957398
8,0.032890540167673336,0.01,0.00044727375230632724,1e-05,0,-206217788.7417499
8,0.032890540167673336,0.01,0.00044727375230632724,0.0001,0,-206217789.9635076
8,0.032890540167673336,0.01,0.00044727375230632724,0.001,0,-206217802.18107748
8,0.032890540167673336,0.01,0.00044727375230632724,0.01,0,-206217924.35606515
8,0.032890540167673336,0.01,0.00044727375230632724,0.1,0,-206219146.03456333
8,0.032890540167673336,0.01,0.00044727375230632724,1.0,0,-206229857.06871563
8,0.032890540167673336,0.01,0.00044727375230632724,10.0,0,-206352380.29496393
8,0.032890540167673336,0.01,0.00044727375230632724,100.0,0,-206888183.13998982
8,0.032890540167673336,0.01,0.00044727375230632724,1000.0,0,-206862993.4176813
8,0.032890540167673336,0.01,0.00044727375230632724,10000.0,0,-206851999.10996088
8,0.032890540167673336,0.01,0.00044727375230632724,100000.0,0,-207173594.106639
8,0.032890540167673336,0.01,0.00044727375230632724,1000000.0,0,-208561179.08184397
8,0.032890540167673336,0.01,0.00044727375230632724,10000000.0,0,-212865120.36887926
8,0.032890540167673336,0.01,0.00044727375230632724,100000000.0,0,-226985777.2444808
8,0.032890540167673336,0.01,0.00044727375230632724,1000000000.0,0,-270052056.89932245
8,0.032890540167673336,0.1,0.00044727375230632724,1e-09,0,-206217787.61438465
8,0.032890540167673336,0.1,0.00044727375230632724,1e-08,0,-206217787.6145068
8,0.032890540167673336,0.1,0.00044727375230632724,1e-07,0,-206217787.61572862
8,0.032890540167673336,0.1,0.00044727375230632724,1e-06,0,-206217787.62794808
8,0.032890540167673336,0.1,0.00044727375230632724,1e-05,0,-206217787.7501412
8,0.032890540167673336,0.1,0.00044727375230632724,0.0001,0,-206217788.9720743
8,0.032890540167673336,0.1,0.00044727375230632724,0.001,0,-206217801.19139668
8,0.032890540167673336,0.1,0.00044727375230632724,0.01,0,-206217923.3839067
8,0.032890540167673336,0.1,0.00044727375230632724,0.1,0,-206219145.23761556
8,0.032890540167673336,0.1,0.00044727375230632724,1.0,0,-206231354.30960602
8,0.032890540167673336,0.1,0.00044727375230632724,10.0,0,-206352398.6101492
8,0.032890540167673336,0.1,0.00044727375230632724,100.0,0,-206889264.7314964
8,0.032890540167673336,0.1,0.00044727375230632724,1000.0,0,-206923992.45738718
8,0.032890540167673336,0.1,0.00044727375230632724,10000.0,0,-207203942.36247936
8,0.032890540167673336,0.1,0.00044727375230632724,100000.0,0,-208550967.50769067
8,0.032890540167673336,0.1,0.00044727375230632724,1000000.0,0,-212868330.5230268
8,0.032890540167673336,0.1,0.00044727375230632724,10000000.0,0,-226990799.74397576
8,0.032890540167673336,0.1,0.00044727375230632724,100000000.0,0,-270047116.6285807
8,0.032890540167673336,0.1,0.00044727375230632724,1000000000.0,0,-369566888.67343456
8,0.032890540167673336,1.0,0.00044727375230632724,1e-09,0,-206218009.83963966
8,0.032890540167673336,1.0,0.00044727375230632724,1e-08,0,-206218009.83976215
8,0.032890540167673336,1.0,0.00044727375230632724,1e-07,0,-206218009.84098572
8,0.032890540167673336,1.0,0.00044727375230632724,1e-06,0,-206218009.85322273
8,0.032890540167673336,1.0,0.00044727375230632724,1e-05,0,-206218009.97559154
8,0.032890540167673336,1.0,0.00044727375230632724,0.0001,0,-206218011.19928145
8,0.032890540167673336,1.0,0.00044727375230632724,0.001,0,-206218023.43617105
8,0.032890540167673336,1.0,0.00044727375230632724,0.01,0,-206218145.80435416
8,0.032890540167673336,1.0,0.00044727375230632724,0.1,0,-206219369.41467172
8,0.032890540167673336,1.0,0.00044727375230632724,1.0,0,-206231598.37137157
8,0.032890540167673336,1.0,0.00044727375230632724,10.0,0,-206352520.32438487
8,0.032890540167673336,1.0,0.00044727375230632724,100.0,0,-206949794.45225057
8,0.032890540167673336,1.0,0.00044727375230632724,1000.0,0,-207260757.59058043
8,0.032890540167673336,1.0,0.00044727375230632724,10000.0,0,-208545607.72052783
8,0.032890540167673336,1.0,0.00044727375230632724,100000.0,0,-212855614.25375804
8,0.032890540167673336,1.0,0.00044727375230632724,1000000.0,0,-226981451.1590275
8,0.032890540167673336,1.0,0.00044727375230632724,10000000.0,0,-270056527.7868475
8,0.032890540167673336,1.0,0.00044727375230632724,100000000.0,0,-369566490.613205
8,0.032890540167673336,1.0,0.00044727375230632724,1000000000.0,0,-505703355.93754375
8,0.032890540167673336,10.0,0.00044727375230632724,1e-09,0,-206216238.0681225
8,0.032890540167673336,10.0,0.00044727375230632724,1e-08,0,-206216238.06824654
8,0.032890540167673336,10.0,0.00044727375230632724,1e-07,0,-206216238.06948766
8,0.032890540167673336,10.0,0.00044727375230632724,1e-06,0,-206216238.0819001
8,0.032890540167673336,10.0,0.00044727375230632724,1e-05,0,-206216238.20602158
8,0.032890540167673336,10.0,0.00044727375230632724,0.0001,0,-206216239.44723853
8,0.032890540167673336,10.0,0.00044727375230632724,0.001,0,-206216251.8593996
8,0.032890540167673336,10.0,0.00044727375230632724,0.01,0,-206216375.9802822
8,0.032890540167673336,10.0,0.00044727375230632724,0.1,0,-206217617.116395
8,0.032890540167673336,10.0,0.00044727375230632724,1.0,0,-206230021.20994475
8,0.032890540167673336,10.0,0.00044727375230632724,10.0,0,-206353924.1420542
8,0.032890540167673336,10.0,0.00044727375230632724,100.0,0,-207292532.73600402
8,0.032890540167673336,10.0,0.00044727375230632724,1000.0,0,-208596803.93546236
8,0.032890540167673336,10.0,0.00044727375230632724,10000.0,0,-212954593.09445974
8,0.032890540167673336,10.0,0.00044727375230632724,100000.0,0,-226973346.29868284
8,0.032890540167673336,10.0,0.00044727375230632724,1000000.0,0,-270048481.9223726
8,0.032890540167673336,10.0,0.00044727375230632724,10000000.0,0,-369561805.29699904
8,0.032890540167673336,10.0,0.00044727375230632724,100000000.0,0,-505706948.9431991
8,0.032890540167673336,10.0,0.00044727375230632724,1000000000.0,0,-649078642.7837265
8,0.032890540167673336,100.0,0.00044727375230632724,1e-09,0,-206262978.02037212
8,0.032890540167673336,100.0,0.00044727375230632724,1e-08,0,-206262978.020637
8,0.032890540167673336,100.0,0.00044727375230632724,1e-07,0,-206262978.02328452
