,e_corr1,e_corr2,e_latent_dim,e_mean,e_var,p_a,p_b,p_c,p_d,t_corr1,t_corr2,t_latent_dim,t_mean,t_var,p_obs
0,0.010634686098745313,0.8255289119561151,18.39770237190142,24.156334,278.16698568044393,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
1,0.012830697926066083,0.8274067326715424,15.025737646273633,25.006754,307.4841263834839,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
2,0.007852377106520042,0.8285977365240239,25.50526070634981,24.823158,298.53342290703597,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
3,0.004381659984079546,0.8294539210894846,47.67582610611864,25.145647,315.7742119513912,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
4,0.0033715792574719405,0.8334268611799355,59.15779916489156,24.97295,311.7455162974999,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
5,0.011726266547098933,0.819597013487853,18.1537681411996,24.544931,283.75875920523896,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
6,0.009571128798252641,0.8231684038840895,22.430922070335395,25.268665,303.599842117775,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
7,0.008258450071085983,0.8326606449146566,23.171555570722745,25.191339,321.727322387079,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
8,0.008987285471143726,0.8243244688497562,22.566492832690056,24.072598,284.9159355303961,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
9,0.008505708570099314,0.8190156893262728,27.27578416117417,25.549093,297.36137987735117,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
10,0.01260255735490172,0.8288817304326325,15.028065832241277,25.0591,300.4189171899999,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
11,0.010980347781991334,0.8231214568320473,19.542733248269123,25.671075,308.80645934437496,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
12,0.007263438284748024,0.8199171143726011,30.14816752492378,24.055477,273.0494113024711,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
13,0.005687385540447742,0.8326751768136738,34.228834907342055,24.817412,307.12035762225594,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
14,0.009674695683164598,0.8196451314857178,23.029436352148263,25.076813,291.34434676303096,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
15,0.009456141385640035,0.821836708938749,22.727356138754434,24.82618,290.6613726076003,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
16,0.009347228458542007,0.8354655707627157,19.935121295284077,25.861151,329.13049995519884,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
17,0.00887080812245561,0.8233557244616623,24.031422059434,24.943462,295.72066345455613,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
18,0.009371124384730208,0.8272948945494365,22.18118238851709,25.785276,318.29933360382415,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
19,0.009762195670635567,0.8376399393007204,18.237069120740493,25.616699,335.53763734339907,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
20,0.007706505687032496,0.8246364498967148,27.65292078162406,25.013375,294.0416241093753,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
21,0.006608422543303861,0.8310345196556679,30.53364826018673,25.445945,314.56286805697493,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
22,0.006980823713551155,0.8333418167746909,27.151086224766367,24.785251,315.2960298669989,0.1,0.1,10.0,10.0,0.008264462809917357,0.8264462809917356,25,25.0,302.50000000000006,1.0
